City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Grindavik,IS,63.8424,-22.4338,53.55,87,100,4.61,overcast clouds
200,Adolfo Lopez Mateos,MX,28.4667,-107.3,86.94,21,89,17.4,overcast clouds
201,Waddan,LY,29.1614,16.139,77.52,47,0,10.51,clear sky
202,Srednyaya Yelyuzan,RU,53.0241,45.9529,53.64,90,0,12.06,clear sky
203,Makakilo City,US,21.3469,-158.0858,82.72,63,100,18.41,overcast clouds
204,Mbini,GQ,1.574,9.6134,75.87,79,100,9.06,overcast clouds
205,Pimentel,PE,-6.8367,-79.9342,62.89,77,75,14.97,broken clouds
206,Port Lincoln,AU,-34.7333,135.8667,53.74,62,100,12.75,overcast clouds
207,San Carlos De Bariloche,AR,-41.1456,-71.3082,29.95,74,0,3.44,clear sky
208,Alice Springs,AU,-23.7,133.8833,54.95,35,57,5.75,broken clouds
209,Sambava,MG,-14.2667,50.1667,70.03,76,63,15.17,light rain
210,Gamba,GA,-2.65,10.0,70.97,91,75,3.53,broken clouds
211,Bengkulu,ID,-3.8004,102.2655,75.58,86,2,3.53,clear sky
212,Berlevag,NO,70.8578,29.0864,58.8,77,75,4.61,broken clouds
213,Coalinga,US,36.1397,-120.3602,100.65,15,67,11.36,broken clouds
214,Shingu,JP,33.7333,135.9833,80.55,86,100,8.05,light rain
215,Phuket,TH,8.0,98.25,87.13,83,20,6.91,few clouds
216,Krugersdorp,ZA,-26.0858,27.7752,48.38,55,0,2.48,clear sky
217,Merauke,ID,-8.4667,140.3333,78.69,81,87,14.2,overcast clouds
218,Faya,SA,18.3851,42.4509,68.52,41,50,4.07,scattered clouds
219,Cairns,AU,-16.9167,145.7667,75.11,70,3,14.97,clear sky
220,Saint-Francois,FR,46.4154,3.9054,65.68,77,0,2.3,clear sky
221,Rockland,US,41.1668,-74.0496,78.66,95,93,9.26,overcast clouds
222,Yulara,AU,-25.2406,130.9889,57.83,23,0,7.11,clear sky
223,Paita,PE,-5.0892,-81.1144,63.14,87,83,17.65,broken clouds
224,Sitka,US,57.0531,-135.33,53.49,87,100,3.44,light rain
225,Cerrito,CO,6.8432,-72.694,54.25,90,100,3.18,light rain
226,Mount Isa,AU,-20.7333,139.5,64.17,36,0,5.75,clear sky
227,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,88,75,8.08,broken clouds
228,Mao,ES,39.8885,4.2658,77.56,88,0,4.61,clear sky
229,Castro,BR,-24.7911,-50.0119,56.8,99,100,4.16,overcast clouds
230,Westport,US,41.1415,-73.3579,78.62,97,75,3.44,broken clouds
231,Pavlysh,UA,48.9176,33.3569,58.37,70,45,4.25,scattered clouds
232,Katsuura,JP,35.1333,140.3,80.62,88,100,21.59,light rain
233,Talnakh,RU,69.4865,88.3972,61.21,51,81,1.23,broken clouds
234,Kwekwe,ZW,-18.9281,29.8149,52.57,79,64,6.44,broken clouds
235,San Cristobal,VE,7.7669,-72.225,75.38,95,98,2.08,overcast clouds
236,Kalmunai,LK,7.4167,81.8167,78.35,86,88,7.16,overcast clouds
237,Yarada,IN,17.65,83.2667,79.12,94,40,2.3,mist
238,Estremoz,PT,38.8443,-7.5859,60.46,84,0,8.59,clear sky
239,Lavrentiya,RU,65.5833,-171.0,36.91,95,100,16.2,light rain
240,Port Augusta,AU,-32.5,137.7667,50.65,50,5,7.99,clear sky
241,Broome,US,42.2506,-75.833,75.58,85,20,8.05,light rain
242,Mali,GN,12.079,-12.2982,60.6,94,89,3.8,overcast clouds
243,Pechenga,RU,69.5259,31.1703,54.77,83,76,5.17,broken clouds
244,Kruisfontein,ZA,-34.0033,24.7314,57.88,93,61,3.11,broken clouds
245,Nakskov,DK,54.8373,11.1284,65.14,77,80,8.75,broken clouds
246,Sint Anthonis,NL,51.6267,5.8819,71.87,71,6,2.3,clear sky
247,Georgiyevka,KZ,43.0369,74.7114,66.24,63,0,11.18,clear sky
248,General Pico,AR,-35.6566,-63.7568,42.78,35,8,4.76,clear sky
249,Kapit,MY,2.0167,112.9333,77.52,83,100,0.47,overcast clouds
250,Nemuro,JP,43.3236,145.575,60.67,98,100,6.42,overcast clouds
251,Inuvik,CA,68.3499,-133.7218,67.21,88,100,5.75,light rain
252,Matay,EG,28.419,30.7792,82.94,39,28,8.7,scattered clouds
253,Tupik,RU,54.4253,119.9327,66.9,71,0,4.29,clear sky
254,Baghdad,IQ,33.3406,44.4009,85.91,25,0,4.61,clear sky
255,Inhambane,MZ,-23.865,35.3833,67.84,88,3,1.19,clear sky
256,Belle Fourche,US,44.6714,-103.8522,104.5,13,60,15.82,broken clouds
257,Yumen,CN,40.2833,97.2,72.32,28,26,2.62,scattered clouds
258,Sopot,PL,54.4418,18.56,64.96,85,0,3.44,clear sky
259,Nhulunbuy,AU,-12.2333,136.7667,79.41,65,75,11.5,broken clouds
260,High Level,CA,58.5169,-117.136,78.91,44,75,6.91,broken clouds
261,Nang Rong,TH,14.6377,102.7914,79.2,82,56,5.41,broken clouds
262,Bunia,CD,1.5667,30.25,62.47,82,87,2.08,overcast clouds
263,Dukat,RU,62.55,155.55,74.28,55,73,8.14,broken clouds
264,San Andres,CO,12.5847,-81.7006,84.22,79,75,14.97,broken clouds
265,Diamantino,BR,-14.4086,-56.4461,74.48,32,31,4.99,scattered clouds
266,Kupang,ID,-10.1667,123.5833,75.83,66,56,12.97,broken clouds
