City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Parrita,CR,78.71,overcast clouds,9.5201,-84.3225,Beso del Viento
645,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
647,Xinyu,CN,78.62,overcast clouds,27.8043,114.9334,Xinyu Beihu Hotel
649,Plouzane,FR,79.12,clear sky,48.3833,-4.6167,Lymina
651,Chapais,CA,80.38,broken clouds,49.7834,-74.8492,Hôtel Opémiska
653,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
654,Machico,PT,70.72,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
658,Gazanjyk,TM,84.76,clear sky,39.2446,55.5154,Railway motel
661,Cap-Aux-Meules,CA,73.45,scattered clouds,47.3821,-61.8597,Auberge Madeli
662,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
663,Vung Tau,VN,80.4,overcast clouds,10.346,107.0843,Seaside Resort
665,Boyolangu,ID,75.61,overcast clouds,-8.1181,111.8935,Yos ega cv
674,Jalu,LY,81.48,clear sky,29.0331,21.5482,صاحبة الفخامة
675,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
676,Wewak,PG,81.43,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
679,Kokoda,PG,83.88,broken clouds,-8.8785,147.7407,Daito Guest House
681,San Quintin,MX,74.61,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
682,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
684,Jacareacanga,BR,78.82,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
685,Chanasma,IN,81.88,overcast clouds,23.7167,72.1167,Shree Bhateva Bhavan Dharamshala
687,Balkhash,KZ,72.19,broken clouds,46.844,74.9804,Family
689,Nanzhang,CN,80.37,overcast clouds,31.7765,111.8386,Longmenkezhan
690,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
692,Regeneracao,BR,78.73,scattered clouds,-6.2378,-42.6883,Hotel KANAYRA
694,Tebingtinggi,ID,75.09,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
696,Sant Feliu De Guixols,ES,80.13,clear sky,41.7833,3.0333,Hotel NM Suites
700,Skerries,IE,75.0,overcast clouds,53.5828,-6.1083,The Redbank Guesthouse
