City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Yulara,AU,2022-07-14 06:21:34,-25.2406,130.9889,65.12,26,1,15.14
94,Yerbogachen,RU,2022-07-14 06:21:35,61.2767,108.0108,66.34,40,100,6.2
95,Itapuranga,BR,2022-07-14 06:21:35,-15.5622,-49.9486,64.24,44,88,4.88
96,Southbridge,US,2022-07-14 06:21:35,42.0751,-72.0334,68.52,94,41,1.01
97,Qaqortoq,GL,2022-07-14 06:21:36,60.7167,-46.0333,48.34,63,100,7.02
98,Sao Goncalo Do Sapucai,BR,2022-07-14 06:21:36,-21.8922,-45.5953,56.03,94,4,2.82
99,Phayao,TH,2022-07-14 06:21:36,19.25,100.25,84.43,66,100,2.1
100,Labuan,MY,2022-07-14 06:21:36,5.2767,115.2417,86.36,70,20,4.61
101,Grand Gaube,MU,2022-07-14 06:21:37,-20.0064,57.6608,72.0,72,90,11.99
102,Kamen-Na-Obi,RU,2022-07-14 06:21:37,53.7884,81.3423,71.13,36,25,3.27
103,Nurota,UZ,2022-07-14 06:21:37,40.5614,65.6886,92.52,16,0,22.44
104,Hobart,AU,2022-07-14 06:20:24,-42.8794,147.3294,52.05,78,75,6.91
105,Menongue,AO,2022-07-14 06:21:38,-14.6585,17.691,48.78,60,1,3.53
106,Kyra,RU,2022-07-14 06:21:38,49.5776,111.9753,79.86,39,53,7.14
107,Lotofaga,WS,2022-07-14 06:21:38,-13.9764,-171.8578,79.79,79,28,22.86
108,Mahebourg,MU,2022-07-14 06:21:39,-20.4081,57.7,71.89,73,75,18.41
109,Salinopolis,BR,2022-07-14 06:21:39,-0.6136,-47.3561,78.37,86,83,12.21
110,Lavrentiya,RU,2022-07-14 06:21:40,65.5833,-171.0,51.55,68,23,6.46
111,Lompoc,US,2022-07-14 06:19:05,34.6391,-120.4579,59.14,87,100,11.01
112,Barrow,US,2022-07-14 06:21:40,71.2906,-156.7887,39.22,81,20,10.36
113,Hofn,IS,2022-07-14 06:21:41,64.2539,-15.2082,50.72,76,87,2.44
114,Samarai,PG,2022-07-14 06:21:41,-10.6167,150.6667,77.47,74,100,19.42
115,Castro,BR,2022-07-14 06:21:41,-24.7911,-50.0119,52.52,95,100,9.53
116,Aguas Vermelhas,BR,2022-07-14 06:21:42,-15.7472,-41.46,54.84,97,94,3.33
117,Flinders,AU,2022-07-14 06:21:42,-34.5833,150.8552,57.38,63,85,8.01
118,Tigil,RU,2022-07-14 06:21:42,57.8,158.6667,74.05,50,33,14.38
119,Ilheus,BR,2022-07-14 06:21:42,-14.7889,-39.0494,67.33,94,45,4.61
120,Calabozo,VE,2022-07-14 06:21:43,8.9242,-67.4293,72.21,84,76,5.08
